order_id,product_id,customer_id,category,supplier,region,channel,return_flag,return_risk_score
1,8270,1933,school products,kishan,West,Social Media,0,0.101960913
2,1860,1188,Clothing,jack,West,Social Media,0,0.283765322
3,6390,376,Clothing,kishan,South,SEO,0,0.315738591
4,6191,653,furniture,will,South,Email,0,0.15157678
5,6734,1292,furniture,jack,East,Email,0,0.072552601
6,7265,549,furniture,will,West,Paid Ads,0,0.207683368
7,1466,1098,Clothing,jack,East,Social Media,0,0.261487591
8,5426,1532,school products,jack,East,SEO,0,0.082704494
9,6578,73,Clothing,will,South,SEO,1,0.44631644
10,9322,308,Clothing,will,South,Social Media,1,0.447095242
11,2685,199,Clothing,will,North,Paid Ads,1,0.547270125
12,1769,1154,Clothing,jack,South,Paid Ads,0,0.359498695
13,7949,1782,school products,will,East,Email,0,0.136299925
14,3433,1848,furniture,will,West,Social Media,0,0.161559502
15,6311,572,Toys,kishan,East,Social Media,0,0.108666012
16,6051,791,furniture,kishan,East,SEO,0,0.089474181
17,7420,1639,furniture,will,East,Social Media,0,0.146907997
18,2184,1832,Toys,will,South,Email,0,0.180967503
19,5555,1856,Clothing,will,East,Social Media,0,0.409652787
20,4385,1511,school products,will,North,SEO,0,0.184525656
21,7396,1877,school products,kishan,West,Email,0,0.091801254
22,9666,1175,furniture,jack,South,SEO,0,0.092618402
23,3558,1693,Toys,will,East,Social Media,0,0.17558079
24,8849,1230,Beauty,will,North,Paid Ads,1,0.296239627
25,3047,179,Clothing,kishan,West,Social Media,0,0.307705045
26,3747,197,furniture,will,East,Social Media,0,0.146907997
27,1189,735,school products,will,West,SEO,0,0.165078746
28,3734,89,Toys,kishan,South,Paid Ads,0,0.161958204
29,4005,799,Toys,will,South,Social Media,0,0.198834763
30,5658,1458,furniture,will,North,Email,1,0.164111388
31,2899,788,Beauty,kishan,South,Email,0,0.125493725
32,8734,748,school products,jack,North,SEO,0,0.103508822
33,2267,1207,furniture,will,East,SEO,0,0.146513533
34,2528,209,Beauty,will,West,Paid Ads,0,0.26890159
35,4556,493,Toys,jack,South,SEO,0,0.112087416
36,4890,1154,Clothing,kishan,West,Paid Ads,0,0.376801455
37,9838,665,school products,jack,West,Social Media,0,0.091903298
38,6393,1037,school products,will,East,Email,0,0.136299925
39,9792,1658,Beauty,jack,East,Email,0,0.098911283
40,9433,871,furniture,kishan,South,Email,0,0.092780532
41,8513,732,Toys,will,East,SEO,0,0.175125141
42,3612,1130,Beauty,kishan,West,SEO,0,0.133664706
43,8041,1399,Clothing,kishan,North,Social Media,0,0.33716871
44,7235,1606,Clothing,jack,North,SEO,1,0.311293724
45,6486,1731,Clothing,jack,North,Paid Ads,0,0.381496001
46,8099,698,Beauty,kishan,South,Email,0,0.125493725
47,1775,1123,Toys,kishan,East,Social Media,0,0.108666012
48,9226,594,school products,will,East,Paid Ads,0,0.194280778
49,4152,1611,furniture,kishan,East,Paid Ads,0,0.118240623
50,2585,886,school products,kishan,East,SEO,0,0.09185725
51,4943,852,Toys,jack,West,SEO,0,0.108110319
52,8555,1216,school products,kishan,North,Email,0,0.103687837
53,4073,325,Beauty,kishan,West,Social Media,0,0.134030009
54,2021,979,Clothing,jack,South,Paid Ads,0,0.359498695
55,4843,1750,Toys,will,North,SEO,1,0.213760243
56,8989,1851,Toys,jack,North,SEO,0,0.121825363
57,7873,956,school products,jack,West,Social Media,0,0.091903298
58,6675,1491,Beauty,kishan,South,Social Media,0,0.13881222
59,1161,894,school products,kishan,South,SEO,0,0.105441025
60,5297,1391,school products,will,North,SEO,0,0.184525656
61,1995,1342,Toys,kishan,East,Email,0,0.097911082
62,8629,144,school products,will,South,Social Media,0,0.17119697
63,2016,384,Clothing,will,West,Paid Ads,0,0.513674966
64,8869,216,school products,will,South,SEO,0,0.170750341
65,7439,1385,Clothing,will,North,SEO,0,0.469730111
66,8892,324,Toys,kishan,East,SEO,0,0.108361188
67,7863,1039,Beauty,jack,South,SEO,0,0.125282325
68,8916,217,Clothing,jack,North,Email,0,0.287585403
69,9529,1516,Beauty,kishan,South,Social Media,0,0.13881222
70,1878,951,Beauty,kishan,East,SEO,0,0.121177311
71,5887,1571,Clothing,will,West,Social Media,0,0.437082737
72,5859,183,Toys,kishan,North,Paid Ads,0,0.175174049
73,7331,270,furniture,jack,North,Paid Ads,0,0.132749583
74,9571,945,Beauty,kishan,East,Paid Ads,0,0.158363707
75,9684,1491,Beauty,kishan,North,Paid Ads,0,0.194171444
76,8208,870,Toys,will,East,Social Media,0,0.17558079
77,6276,1636,Toys,will,North,Paid Ads,0,0.270609569
78,3062,1543,school products,will,East,Paid Ads,0,0.194280778
79,1064,1566,Toys,will,South,SEO,0,0.198333286
80,9006,467,Beauty,jack,South,SEO,0,0.125282325
81,3568,305,Clothing,kishan,South,SEO,1,0.315738591
82,6463,1168,furniture,kishan,North,Email,0,0.101031991
83,3027,111,school products,will,East,SEO,0,0.150165249
84,3695,1014,Clothing,jack,East,Paid Ads,1,0.325079001
85,6258,232,furniture,jack,West,Social Media,0,0.089519153
86,6618,1715,furniture,kishan,South,Paid Ads,1,0.13514534
87,7736,1608,furniture,will,West,Social Media,0,0.161559502
88,1391,1746,Clothing,kishan,South,Paid Ads,0,0.386380896
89,6892,1756,school products,kishan,West,Email,0,0.091801254
90,4561,1616,school products,jack,South,SEO,0,0.09507647
91,7184,1524,furniture,jack,East,Paid Ads,0,0.106768069
92,4099,595,Clothing,kishan,South,SEO,1,0.315738591
93,7278,1578,furniture,will,North,Email,0,0.164111388
94,9392,1297,Toys,will,South,Email,0,0.180967503
